nghd,num_tweets,num_users
Port Vue Borough,9945,201
Braddock Hills Borough,5663,277
Arlington,5033,732
Whitehall Borough,30320,1404
Aleppo Township,686,175
Baldwin Township,8742,316
Wilkins Township,14207,1199
Churchill Borough,11486,1200
Glen Osborne Borough,1798,177
Swisshelm Park,4424,261
Bell Acres Borough,687,73
Mount Lebanon,53641,3068
Homestead Borough,21829,1985
St. Clair,403,62
Oakdale Borough,1986,163
Neville Township,5370,876
Ben Avon Borough,4782,90
Brookline,46008,1625
Fairywood,2226,140
Crafton Borough,13009,806
Ridgemont,2590,676
Carrick,35764,1011
Pennsbury Village Borough,1948,141
Spring Garden,4191,652
Edgewood Borough,7774,1485
Pine Township,9535,1443
Clairton,10107,363
Millvale Borough,5969,904
Green Tree Borough,12803,1781
Crafton Heights,21462,616
South Shore,12202,2720
Springdale Township,1215,302
Bethel Park Borough,47131,3192
North Fayette Township,26244,2174
Shadyside,27787,3164
Braddock Borough,5163,437
Garfield,9275,250
North Oakland,33583,3181
Sheraden,2128,154
Ohio Township,24497,1563
South Versailles Township,90,15
Bloomfield,24573,2696
Blawnox Borough,2300,160
Beechview,34100,1449
Dravosburg Borough,3049,203
Chartiers City,796,94
Central Oakland,200621,8969
Harmar Township,10912,1723
Westwood,4413,445
Rosslyn Farms Borough,2055,550
McKeesport,54004,1069
Highland Park,19720,1677
Whitaker Borough,5303,162
Heidelberg Borough,3081,412
Allentown,15476,447
Chalfant Borough,2111,169
Hampton Township,26095,1784
Sharpsburg Borough,1678,370
Elizabeth Township,32927,772
Perry South,4820,294
Forest Hills Borough,17731,874
South Park Township,27612,1127
Lincoln-Lemington-Belmar,9574,1204
Franklin Park Borough,15157,1741
Pittsburgh,17265,3631
North Braddock Borough,5439,508
Duquesne Heights,10087,2146
Robinson Township,55689,6759
Homewood South,2560,403
Monroeville,5374,509
Manchester,2505,368
Allegheny West,48633,10387
California-Kirkbride,4550,279
Frazer Township,2273,570
Perry North,19076,543
Hays,1580,304
Kennedy Township,22031,1068
West Elizabeth Borough,241,79
Etna Borough,698,221
Leet Township,96,10
Brighton Heights,21871,719
Mount Washington,23588,3086
Chateau,24392,5757
Strip District,19490,4981
Versailles Borough,3993,237
Duquesne,9907,596
Marshall-Shadeland,11116,543
North Versailles Township,27602,1054
Central Lawrenceville,20257,2687
Terrace Village,11978,1610
Point Breeze,15756,1398
Collier Township,24312,2962
Rankin Borough,1926,421
Elizabeth Borough,1844,209
West Deer Township,17281,637
Summer Hill,2170,410
Coraopolis Borough,9271,573
Upper St. Clair Township,36328,2610
Marshall Township,3673,925
Central Northside,9537,641
West Homestead Borough,8299,561
Beltzhoover,11524,360
Stanton Heights,5157,115
Lincoln Borough,4552,160
Verona Borough,2891,306
Aspinwall Borough,4758,539
East McKeesport Borough,1332,70
North Shore,21049,5557
Emsworth Borough,5928,346
White Oak Borough,16119,777
West Mifflin Borough,74825,4226
Brentwood Borough,33566,1071
McKees Rocks Borough,3000,375
Crawford-Roberts,9006,2124
Homewood North,20281,416
Carnegie Borough,10768,1171
Bradford Woods Borough,287,76
Windgap,5663,200
Moon Township,21156,2287
Cheswick Borough,358,78
East Carnegie,1150,198
Kilbuck Township,2277,322
Spring Hill-City View,4409,356
Sewickley Borough,7235,750
Oakmont Borough,18086,924
Fineview,4802,938
Findlay Township,583,62
Glenfield Borough,1337,245
Indiana Township,9122,856
Jefferson Hills Borough,19498,1254
Stowe Township,13544,610
Penn Hills Township,81001,2073
Avalon Borough,5773,275
Bridgeville Borough,8223,1063
Mount Oliver Borough,4218,356
Squirrel Hill South,20169,2798
Greenfield,10195,755
Fox Chapel Borough,6789,673
Esplen,1614,118
Pleasant Hills Borough,22683,1631
West View Borough,7876,503
Dormont Borough,21550,1384
Bedford Dwellings,12024,2587
Ross Township,102042,5376
Outside Allegheny,98375,4643
Banksville,11251,1550
Upper Lawrenceville,7403,527
Baldwin Borough,48693,1707
Troy Hill,3494,274
Bon Air,3187,249
Central Business District,260115,19339
Squirrel Hill North,21263,2734
Lincoln Place,3737,249
Munhall Borough,21674,939
South Side Flats,72370,8074
Overbrook,9313,810
Outside Pittsburgh,1227,247
Hazelwood,7652,570
Elliott,5862,336
Scott Township,34673,1852
Wilkinsburg Borough,18607,1134
New Homestead,1671,273
Shaler Township,70751,1997
Sewickley Hills Borough,532,151
Wilmerding Borough,1718,137
Upper Hill,20817,1351
East Hills,9047,258
Glen Hazel,1240,83
Polish Hill,5829,1049
Mt. Oliver,2320,131
Edgeworth Borough,1479,224
Castle Shannon Borough,13978,844
Glassport Borough,6336,298
Morningside,7059,431
O Hara Township,28981,1794
McCandless Township,52938,2989
Regent Square,1688,384
Liberty Borough,9449,201
South Oakland,31245,3701
South Fayette Township,25423,1595
East Liberty,38914,3794
Forward Township,2167,190
Richland Township,7670,966
Turtle Creek Borough,27604,322
Reserve Township,3618,235
Sewickley Heights Borough,701,131
Middle Hill,7524,344
Point Breeze North,4534,585
Bellevue Borough,22769,880
Plum Borough,2168,632
Larimer,3065,559
South Side Slopes,11633,701
Swissvale Borough,7039,563
